substanceAbuseTags,alcoholAbuseTags,drugAbuseTags,,,,,,,,,,,,,,,,,,,,,,,,
traumaGeneralTags,References to Past Trauma of a Canon Nature,Tragedy,Trauma,Homelessness,Nazis being Nazis,Adolf Hitler (mentioned),Nazi,canon-typical horribleness,,,,,,,,,,,,,,,,,,
badRelationshipsTags,Unhealthy Relationships,mutually unhealthy relationship,Codependency,terrible influence on each other,Dubious Consent,Dubious Cuddling,I should start this with ra-ra-ah-ah-ah cause it's gonna be a bad romance,,,,,,,,,,,,,,,,,,,
abductionTags,Kidnapping,Accidentally Baby Acquisition,but like kidnapping that is less bad in context?,,,,,,,,,,,,,,,,,,,,,,,
unmanagedMentalHealthTags,Psychological Trauma,Unhealthy Coping Mechanisms,traumatized family dynamics,Dysfunctional Family,,,,,,,,,,,,,,,,,,,,,,
generalProblematicContentTags,Magical Healing Cock,womanizing,,,,,,,,,,,,,,,,,,,,,,,,
incestTags,Parent/Child Incest,Sibling Incest,any time you have to say “it's not incest technically…” that's not great ryan,Pseudo-Incest,psuedo incest,,,,,,,,,,,,,,,,,,,,,
deathTags,Implied/Referenced Character Death,Both my friends are dead,but he's dead,Fatal Attraction,Minor Character Death,Canonical Character Death,Another one bites the dust,Off-Screen Major Character Death,,Fear of Death,Off-screen Character Death,Cansrel dies later,Animal Death,Past Character Death,Character Death,Wakes & Funerals,Talk of death (duh),Death,everyone dies,post-death,technically a major character is dead,Major character death - Freeform,canon character death,Original Character Death(s),Macabre,deathRelatedTags
infidelityTags,Infidelity,Adultery,Implied Referenced Cheating,Cheating,,,,,,,,,,,,,,,,,,,,,,
downerTags,Sad,there are no happy endings,Sad Ending,Depressing,Pathos,Sad times,no seriously i mean it no happy endings,Sadness,Sorrow,the ending is tragic and I consider the radio series end to be canon,sad fic,It's All Really Sad,,,,,,,,,,,,,,
pregnancyRelatedTags,pregancy announcement,Pregnancy,pregnancy photo shoot,Pregnant,pregnancy!fic,Childbirth,Fertility Issues,Surrogacy,Mpreg,Giving Birth,Unplanned Pregnancy,Labour,bun in the oven,,,,,,,,,,,,,
dubConTags,Slight dubcon if you squint,dubcon,dubious everything,,,,,,,,,,,,,,,,,,,,,,,
enslavementTags,Forced Prostitution,Slavery,,,,,,,,,,,,,,,,,,,,,,,,
medicalEmergencyTags,CPR,Cardiopulmonary Resuscitation,,,,,,,,,,,,,,,,,,,,,,,,
lawEnforcementTags,Physical Abilities Requirement Evaluation (PARE),Mounties (RCMP),Prison,Prison Talk,visiting family in prison,Visiting a relative in prison,,,,,,,,,,,,,,,,,,,,
